,index,close,predictions,%error,Inc/Dec
73,73,0.674554307,0.68334115,1.28586482,-1
74,74,0.711604581,0.6887177,3.323114922,1
75,75,0.712251685,0.69311804,2.760517512,1
76,76,0.705509584,0.678069,4.046871913,1
77,77,0.712033791,0.65849745,8.130075622,1
78,78,0.70912793,0.6657421,6.516912516,1
79,79,0.656688323,0.6866686,4.366047463,-1
80,80,0.63702676,0.6622116,3.803140941,-1
81,81,0.649630121,0.5950924,9.16458033,1
82,82,0.634650732,0.6252156,1.509100615,1
83,83,0.658371667,0.60049707,9.637781684,1
84,84,0.652501545,0.6517914,0.10895285,1
85,85,0.637257139,0.6666566,4.409985686,-1
86,86,0.627624483,0.6375081,1.550351605,-1
87,87,0.587609142,0.6340082,7.318368689,-1
88,88,0.580596587,0.61015534,4.844463577,-1
89,89,0.553049347,0.564298,1.993388798,-1
90,90,0.556074492,0.56887054,2.24937787,-1
91,91,0.559127495,0.55352616,1.011936771,1
92,92,0.557575049,0.5160862,8.039131598,1
93,93,0.573291894,0.52549666,9.09524991,1
94,94,0.594140934,0.5329733,11.47667894,1
95,95,0.570812425,0.6042383,5.53190277,-1
96,96,0.579544371,0.55598086,4.238187475,1
97,97,0.580879594,0.54389703,6.799552517,1
98,98,0.579788042,0.54412407,6.554382377,1
99,99,0.564952171,0.54633474,3.407696734,1
100,100,0.567101645,0.55549103,2.090153382,1
101,101,0.556252983,0.54574597,1.925257028,1
102,102,0.537970208,0.5459173,1.455731922,-1
103,103,0.465398275,0.53483546,12.98290594,-1
104,104,0.440874838,0.46547183,5.284313787,-1
105,105,0.46229627,0.45286843,2.081805478,1
106,106,0.468783825,0.45492548,3.046289073,1
107,107,0.473933607,0.45014244,5.285252983,1
108,108,0.4721828,0.47595057,0.791630421,-1
109,109,0.477099517,0.46359825,2.912277414,1
110,110,0.488202389,0.47398674,2.99916596,1
111,111,0.494283088,0.5045045,2.026029965,-1
112,112,0.490492561,0.47847316,2.512032356,1
113,113,0.500210804,0.47898042,4.432411649,1
114,114,0.504681327,0.48513553,4.028935468,1
115,115,0.473916087,0.50883037,6.861674433,-1
116,116,0.477380779,0.49375498,3.316260379,-1
117,117,0.55206936,0.48034596,14.93161302,1
118,118,0.551043257,0.53777397,2.467446813,1
119,119,0.567734048,0.5826839,2.565688197,-1
120,120,0.592270978,0.53789306,10.10942916,1
121,121,0.597051024,0.5983656,0.219694462,-1
122,122,0.600837658,0.6156897,2.412260979,-1
123,123,0.587542284,0.62658244,6.230649566,-1
124,124,0.567656785,0.62014323,8.463600452,-1
125,125,0.564847654,0.5453987,3.566006733,1
126,126,0.564040788,0.5433136,3.814958415,1
127,127,0.570732476,0.5508849,3.602853608,1
128,128,0.604900183,0.5598292,8.050845374,1
129,129,0.594360171,0.60289085,1.414962383,-1
130,130,0.535523026,0.6246786,14.2722312,-1
131,131,0.526809875,0.54087985,2.601312462,-1
132,132,0.528376753,0.53062385,0.423482032,-1
133,133,0.499321573,0.52886194,5.585648184,-1
